Seed,Temperature, Humidity, Wind,0,10,20,30,40,50,60,70,80,90,100,Total,Time
3335,10,10,10, 5.22,21.24,38.07,55.53,73.62,89.64,104.85,122.49,143.1,162.54,183.69,188.59,3.75403
3335,10,10,23, 5.22,25.47,35.82,49.68,61.47,74.25,83.88,95.58,109.35,123.12,135.54,140.29,1.99735
3335,10,10,35, 5.22,22.95,30.69,38.34,48.42,56.61,65.61,73.8,80.64,87.66,97.29,101.40,2.7116
3335,10,10,48, 5.22,21.06,27.81,33.03,39.15,47.07,53.28,59.94,66.69,72.99,78.03,81.31,3.61489
3335,10,10,60, 5.22,19.62,26.19,30.33,34.65,39.78,46.8,51.93,56.7,61.83,67.95,70.97,4.42998
3335,10,30,10, 5.22,10.26,20.34,29.07,36,43.83,51.93,61.11,69.75,78.03,85.95,88.61,0.972894
3335,10,30,23, 5.22,17.55,24.75,29.97,34.65,39.87,46.8,54,58.95,64.89,71.1,74.15,1.557
3335,10,30,35, 5.22,17.46,22.77,26.73,30.33,33.48,37.17,41.22,47.07,51.12,54.72,57.11,2.38396
3335,10,30,48, 5.22,16.83,20.43,24.3,27.36,29.79,32.31,34.65,37.8,41.04,45.27,47.32,2.66471
3335,10,30,60, 5.22,16.47,19.26,22.77,25.65,27.72,29.7,31.5,33.75,36,38.34,40.17,3.26001
3335,10,50,10, 5.22,7.29,12.78,18.36,24.75,29.25,33.84,38.52,42.93,47.88,53.01,54.71,0.985688
3335,10,50,23, 5.22,11.52,19.35,23.49,26.91,30.15,33.3,36,39.15,43.11,47.88,49.74,1.41462
3335,10,50,35, 5.22,14.4,18.54,21.42,24.66,26.91,29.07,31.23,33.12,35.19,37.53,39.38,1.75397
3335,10,50,48, 5.22,14.85,18,19.89,22.59,24.48,26.55,27.81,29.88,31.5,32.76,34.33,2.17115
3335,10,50,60, 5.22,14.49,17.1,18.99,20.79,22.95,24.39,26.28,27.45,28.62,30.15,31.34,2.59326
3335,10,70,10, 5.22,5.76,9.27,12.87,16.83,21.06,25.74,28.62,31.5,35.01,38.25,39.03,1.03969
